,Dates,Category,PdDistrict,Address,X,Y
61,2015-05-13 19:26:00,DRUNKENNESS,CENTRAL,900 Block of BUSH ST,-122.41292895522,37.7896868265784
242,2015-05-13 12:21:00,KIDNAPPING,INGLESIDE,1500 Block of DOLORES ST,-122.424347725679,37.7450456172368
280,2015-05-13 09:00:00,RUNAWAY,INGLESIDE,5700 Block of MISSION ST,-122.449674980499,37.709762526111
328,2015-05-13 04:45:00,KIDNAPPING,SOUTHERN,1500 Block of MARKET ST,-122.419666717917,37.7746823329875
374,2015-05-12 22:25:00,KIDNAPPING,CENTRAL,200 Block of KEARNY ST,-122.403915681571,37.790538993725
661,2015-05-12 01:46:00,ARSON,BAYVIEW,1400 Block of SELBY ST,-122.401152370981,37.738362825899294
664,2015-05-12 01:40:00,DRUNKENNESS,RICHMOND,4700 Block of GEARY BL,-122.470190415901,37.7808757916602
685,2015-05-12 00:10:00,DRUNKENNESS,INGLESIDE,3100 Block of MISSION ST,-122.418609719102,37.7474453071495
875,2015-05-11 16:00:00,KIDNAPPING,INGLESIDE,100 Block of STONERIDGE LN,-122.426222140045,37.710019035369
981,2015-05-11 11:45:00,RUNAWAY,RICHMOND,800 Block of EUCLID AV,-122.458490740585,37.7837951529214
1060,2015-05-11 07:30:00,KIDNAPPING,NORTHERN,1200 Block of SUTTER ST,-122.420941906085,37.7875961622012
1076,2015-05-11 05:00:00,ARSON,SOUTHERN,200 Block of FOLSOM ST,-122.392347671978,37.7890603555993
1203,2015-05-03 19:05:00,DRUNKENNESS,TENDERLOIN,HYDE ST / EDDY ST,-122.415885065788,37.783516056415294
1332,2015-05-03 13:00:00,KIDNAPPING,TARAVAL,9TH AV / LINCOLN WY,-122.46644268420602,37.7659245297691
1428,2015-05-03 02:35:00,DRUNKENNESS,TARAVAL,700 Block of FONT BL,-122.483569270838,37.7230650556781
1430,2015-05-03 02:30:00,KIDNAPPING,TENDERLOIN,100 Block of TURK ST,-122.411615075408,37.7831614109395
1465,2015-05-03 00:40:00,KIDNAPPING,CENTRAL,900 Block of HYDE ST,-122.417044292614,37.78959527743221
1478,2015-05-03 00:09:00,DRUNKENNESS,TARAVAL,200 Block of ARBALLO DR,-122.482571730558,37.7214219003204
1757,2015-05-02 10:40:00,KIDNAPPING,NORTHERN,1500 Block of EDDY ST,-122.433155869003,37.78126734681
1800,2015-05-02 05:48:00,DRUNKENNESS,TARAVAL,200 Block of ARBALLO DR,-122.482571730558,37.7214219003204
1802,2015-05-02 05:39:00,ARSON,RICHMOND,200 Block of 11TH AV,-122.469906688039,37.7836161897605
1825,2015-05-02 02:27:00,DRUNKENNESS,MISSION,3000 Block of 16TH ST,-122.421662616877,37.7648758178404
1899,2015-05-01 22:07:00,KIDNAPPING,TARAVAL,200 Block of HOLLOWAY AV,-122.45564374772,37.7217922825182
1917,2015-05-01 21:15:00,ARSON,TENDERLOIN,200 Block of MCALLISTER ST,-122.416577792446,37.780614876154
1933,2015-05-01 20:00:00,ARSON,SOUTHERN,1800 Block of MARKET ST,-122.423715048532,37.7717810622866
2268,2015-04-30 23:00:00,KIDNAPPING,CENTRAL,800 Block of PACIFIC AV,-122.409652663162,37.7964914531604
2278,2015-04-30 22:50:00,KIDNAPPING,CENTRAL,500 Block of STOCKTON ST,-122.407233499106,37.7905223625299
2366,2015-04-30 19:12:00,KIDNAPPING,MISSION,800 Block of CHURCH ST,-122.428078855496,37.75768610032871
2511,2015-04-30 13:00:00,DRUNKENNESS,TENDERLOIN,500 Block of HYDE ST,-122.416459785313,37.7860170554787
2653,2015-04-30 00:50:00,KIDNAPPING,TARAVAL,2400 Block of 46TH AV,-122.504484775464,37.7408208732724
2787,2015-04-29 18:49:00,DRUNKENNESS,MISSION,1900 Block of MISSION ST,-122.41967661615,37.7658510977435
2808,2015-04-29 18:00:00,KIDNAPPING,MISSION,2300 Block of 16TH ST,-122.409529913278,37.7657184395282
2809,2015-04-29 18:00:00,KIDNAPPING,MISSION,2300 Block of 16TH ST,-122.409529913278,37.7657184395282
2814,2015-04-29 18:00:00,RUNAWAY,SOUTHERN,0 Block of MOSS ST,-122.407999186749,37.7778241673064
2890,2015-04-29 14:45:00,KIDNAPPING,BAYVIEW,3RD ST / NEWCOMB AV,-122.390416955474,37.7355926105862
2982,2015-04-29 10:39:00,KIDNAPPING,TENDERLOIN,LEAVENWORTH ST / TURK ST,-122.414056291891,37.7827931071006
3052,2015-04-29 06:35:00,ARSON,RICHMOND,700 Block of 23RD AV,-122.482184155412,37.77357976865471
3071,2015-04-29 04:17:00,DRUNKENNESS,MISSION,4500 Block of 18TH ST,-122.440485645784,37.7605003986524
3096,2015-04-29 01:05:00,ARSON,CENTRAL,1200 Block of UNION ST,-122.419593646454,37.7991861177677
3173,2015-04-28 20:00:00,RUNAWAY,SOUTHERN,0 Block of MOSS ST,-122.407999186749,37.7778241673064
3449,2015-04-28 01:25:00,ARSON,SOUTHERN,1100 Block of MISSION ST,-122.411626152299,37.77858957403121
3919,2015-04-19 21:40:00,DRUNKENNESS,MISSION,3900 Block of 17TH ST,-122.433500504054,37.7625297461241
4073,2015-04-19 15:20:00,DRUNKENNESS,TENDERLOIN,100 Block of POWELL ST,-122.40801449292,37.7859507767613
4094,2015-04-19 14:51:00,DRUNKENNESS,CENTRAL,STOCKTON ST / UNION ST,-122.409193904616,37.800443875105294
4105,2015-04-19 14:30:00,KIDNAPPING,BAYVIEW,400 Block of TUNNEL AV,-122.401399497577,37.70911172039371
4228,2015-04-19 04:37:00,DRUNKENNESS,PARK,FELL ST / DIVISADERO ST,-122.437612766191,37.7740604119579
4232,2015-04-19 04:15:00,KIDNAPPING,BAYVIEW,0 Block of NORTHRIDGE RD,-122.375512968635,37.730806609582
4233,2015-04-19 04:15:00,KIDNAPPING,BAYVIEW,0 Block of NORTHRIDGE RD,-122.375512968635,37.730806609582
4246,2015-04-19 03:00:00,DRUNKENNESS,SOUTHERN,800 Block of MISSION ST,-122.404636264759,37.7842645474624
4311,2015-04-18 23:59:00,DRUNKENNESS,PARK,GEARY BL / BAKER ST,-122.442795743643,37.7828833959001
4324,2015-04-18 23:13:00,DRUNKENNESS,SOUTHERN,NEWMONTGOMERY ST / MARKET ST,-122.402070243227,37.788719868813295
4348,2015-04-18 22:27:00,DRUNKENNESS,BAYVIEW,4800 Block of 3RD ST,-122.390965298144,37.7344291807899
4637,2015-04-18 09:09:00,ARSON,NORTHERN,2900 Block of DIVISADERO ST,-122.442254995811,37.7967153758518
4708,2015-04-18 01:30:00,KIDNAPPING,TARAVAL,1200 Block of 20TH AV,-122.478187458009,37.764441968542
4729,2015-04-18 00:01:00,KIDNAPPING,MISSION,3800 Block of 18TH ST,-122.429490357681,37.761276012999296
4733,2015-04-18 00:01:00,KIDNAPPING,NORTHERN,HAYES ST / POLK ST,-122.418045452768,37.7775118895695
4877,2015-04-17 18:30:00,ARSON,SOUTHERN,0 Block of 6TH ST,-122.409011206639,37.7811340568243
5163,2015-04-17 01:50:00,DRUNKENNESS,TARAVAL,TARAVAL ST / 19TH AV,-122.475644251197,37.7430505534925
5314,2015-04-16 17:50:00,KIDNAPPING,INGLESIDE,700 Block of MOSCOW ST,-122.431690484339,37.7157728286068
5557,2015-04-16 01:13:00,ARSON,INGLESIDE,2400 Block of ALEMANY BL,-122.445255696193,37.7157170897971
5570,2015-04-16 00:30:00,ARSON,PARK,100 Block of PARNASSUS AV,-122.450480413582,37.7647201806273
5635,2015-04-15 21:14:00,DRUNKENNESS,MISSION,500 Block of VALENCIA ST,-122.421876488492,37.7640888944532
5849,2015-04-15 12:25:00,RUNAWAY,TENDERLOIN,300 Block of TAYLOR ST,-122.411302813025,37.7855355791102
5942,2015-04-15 07:42:00,KIDNAPPING,NORTHERN,1800 Block of UNION ST,-122.429741294345,37.7977645712284
5974,2015-04-15 02:58:00,DRUNKENNESS,TENDERLOIN,0 Block of POWELL ST,-122.407845374111,37.7850943210103
5976,2015-04-15 02:49:00,DRUNKENNESS,TARAVAL,0 Block of CAMBON DR,-122.474444639595,37.718302204766005
6095,2015-04-14 21:00:00,KIDNAPPING,MISSION,16TH ST / POTRERO AV,-122.407538332319,37.7657827544276
6265,2015-04-14 13:00:00,ARSON,TARAVAL,0 Block of CHUMASERO DR,-122.472875861339,37.713317784448
6343,2015-04-14 08:00:00,RUNAWAY,PARK,0 Block of VEGA ST,-122.445893581212,37.7801242878056
6372,2015-04-14 04:15:00,DRUNKENNESS,TENDERLOIN,500 Block of OFARRELL ST,-122.413820070176,37.7857382950322
6725,2015-04-13 07:30:00,RUNAWAY,INGLESIDE,5700 Block of MISSION ST,-122.449674980499,37.709762526111
6800,2015-04-05 23:40:00,DRUNKENNESS,CENTRAL,1000 Block of BUSH ST,-122.414576897,37.7894768075723
6832,2015-04-05 21:44:00,DRUNKENNESS,MISSION,24TH ST / MISSION ST,-122.418448186101,37.7522391652625
6871,2015-04-05 20:00:00,ARSON,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711
7104,2015-04-05 04:42:00,ARSON,CENTRAL,1900 Block of LEAVENWORTH ST,-122.417429817096,37.799176058463296
7145,2015-04-05 00:25:00,DRUNKENNESS,NORTHERN,400 Block of HAYES ST,-122.423749669429,37.776729432919005
7175,2015-04-04 23:40:00,DRUNKENNESS,MISSION,3100 Block of 16TH ST,-122.422388599852,37.7648319521443
7202,2015-04-04 22:50:00,ARSON,NORTHERN,1700 Block of FILBERT ST,-122.428306500557,37.7990143347959
7234,2015-04-04 21:50:00,DRUNKENNESS,NORTHERN,1200 Block of POLK ST,-122.420326993863,37.7884521578132
7391,2015-04-04 14:19:00,DRUNKENNESS,RICHMOND,5600 Block of GEARY BL,-122.479912728919,37.78018134996579
7416,2015-04-04 13:28:00,DRUNKENNESS,SOUTHERN,VALENCIA ST / MCCOPPIN ST,-122.422526328922,37.7715962069104
7526,2015-04-04 08:08:00,KIDNAPPING,TENDERLOIN,LEAVENWORTH ST / TURK ST,-122.414056291891,37.7827931071006
7568,2015-04-04 01:15:00,RUNAWAY,MISSION,2600 Block of MISSION ST,-122.41860030588998,37.7546255872838
7576,2015-04-04 00:30:00,ARSON,CENTRAL,600 Block of UNION ST,-122.40968720575,37.8003260482415
7688,2015-04-03 20:30:00,DRUNKENNESS,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711
8053,2015-04-02 23:56:00,DRUNKENNESS,MISSION,16TH ST / RONDEL PL,-122.421240281394,37.76495589279121
8065,2015-04-02 23:00:00,ARSON,NORTHERN,2400 Block of FILBERT ST,-122.439793801245,37.7974418348099
8125,2015-04-02 20:58:00,DRUNKENNESS,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711
8202,2015-04-02 18:10:00,ARSON,SOUTHERN,0 Block of SHERMAN ST,-122.405924386123,37.7766015774052
8417,2015-04-02 07:00:00,RUNAWAY,RICHMOND,600 Block of 37TH AV,-122.497454405818,37.7766263429845
8565,2015-04-01 18:37:00,DRUNKENNESS,MISSION,CHURCH ST / LIBERTY ST,-122.427972178216,37.757291921351
8586,2015-04-01 17:59:00,DRUNKENNESS,MISSION,2900 Block of 24TH ST,-122.411426024108,37.7526019706042
8609,2015-04-01 17:15:00,KIDNAPPING,MISSION,MISSION ST / 20TH ST,-122.419052694349,37.7586324051562
8649,2015-04-01 16:00:00,KIDNAPPING,SOUTHERN,6TH ST / MISSION ST,-122.408710606663,37.78097067220529
8782,2015-04-01 08:30:00,DRUNKENNESS,CENTRAL,600 Block of COLUMBUS AV,-122.410534621364,37.80061562136871
8897,2015-03-31 21:00:00,ARSON,SOUTHERN,MCCOPPIN ST / STEVENSON ST,-122.421748892194,37.7716418466942
9109,2015-03-31 12:58:00,DRUNKENNESS,TENDERLOIN,200 Block of TAYLOR ST,-122.411115854179,37.78460808188871
9288,2015-03-30 22:23:00,DRUNKENNESS,MISSION,1900 Block of MISSION ST,-122.419814593811,37.7658427213372
9496,2015-03-30 14:30:00,KIDNAPPING,TARAVAL,1700 Block of 9TH AV,-122.465793842323,37.7556246702007
9641,2015-03-30 04:45:00,ARSON,MISSION,1000 Block of POTRERO AV,-122.406539115148,37.7564864109309
9731,2015-03-22 20:15:00,DRUNKENNESS,RICHMOND,300 Block of 5TH AV,-122.463348348807,37.7820081056628
9756,2015-03-22 19:00:00,KIDNAPPING,MISSION,1300 Block of YORK ST,-122.407890160743,37.7504458171938
9864,2015-03-22 14:05:00,RUNAWAY,MISSION,1700 Block of FOLSOM ST,-122.415543452448,37.7689495838525
9892,2015-03-22 13:10:00,KIDNAPPING,BAYVIEW,400 Block of AMHERST ST,-122.415247116726,37.7239096674854
9940,2015-03-22 10:30:00,DRUNKENNESS,CENTRAL,600 Block of COLUMBUS AV,-122.410534621364,37.80061562136871
10037,2015-03-22 01:32:00,KIDNAPPING,RICHMOND,SUTTER ST / SCOTT ST,-122.438207824401,37.7854586086809
10044,2015-03-22 01:25:00,DRUNKENNESS,MISSION,3100 Block of 16TH ST,-122.423637302048,37.7648666651043
10120,2015-03-21 22:04:00,DRUNKENNESS,SOUTHERN,MARKET ST / 5TH ST,-122.408068345148,37.7839916768161
10318,2015-03-21 14:11:00,DRUNKENNESS,TARAVAL,33RD AV / TARAVAL ST,-122.490691492512,37.7423880046588
10331,2015-03-21 13:45:00,DRUNKENNESS,SOUTHERN,600 Block of MARKET ST,-122.403070886779,37.7877867423496
10412,2015-03-21 08:00:00,DRUNKENNESS,SOUTHERN,200 Block of FOLSOM ST,-122.392347671978,37.7890603555993
10451,2015-03-21 02:05:00,DRUNKENNESS,BAYVIEW,2400 Block of SAN BRUNO AV,-122.404952461327,37.7307376243582
10461,2015-03-21 01:32:00,DRUNKENNESS,TARAVAL,CRESPI DR / 19TH AV,-122.475223128467,37.7204418078734
10522,2015-03-20 23:00:00,DRUNKENNESS,MISSION,3100 Block of 22ND ST,-122.41821569477,37.7554138872049
10534,2015-03-20 22:38:00,DRUNKENNESS,NORTHERN,2500 Block of SACRAMENTO ST,-122.434876844289,37.789785369956896
10745,2015-03-20 14:45:00,RUNAWAY,NORTHERN,700 Block of GOLDEN GATE AV,-122.42291369529,37.7806600950548
10888,2015-03-20 06:30:00,ARSON,NORTHERN,BAY ST / BUCHANAN ST,-122.433332271053,37.8030557323315
10929,2015-03-20 01:10:00,KIDNAPPING,BAYVIEW,900 Block of CONNECTICUT ST,-122.397201937993,37.75353512427621
11384,2015-03-19 00:20:00,DRUNKENNESS,MISSION,3000 Block of MISSION ST,-122.418163204335,37.7485889485524
11517,2015-03-18 17:30:00,KIDNAPPING,CENTRAL,600 Block of STOCKTON ST,-122.407354509443,37.7917926375029
11540,2015-03-18 17:00:00,KIDNAPPING,BAYVIEW,1000 Block of LECONTE AV,-122.39800417734,37.7190331787318
11744,2015-03-18 02:55:00,DRUNKENNESS,TENDERLOIN,300 Block of EDDY ST,-122.412930522059,37.7838344374141
11756,2015-03-18 01:39:00,ARSON,CENTRAL,300 Block of SUTTER ST,-122.40618184105,37.7894765068014
11769,2015-03-18 00:30:00,KIDNAPPING,CENTRAL,BATTERY ST / CALIFORNIA ST,-122.399962950879,37.7932093101245
11834,2015-03-17 21:30:00,RUNAWAY,CENTRAL,1000 Block of CHESTNUT ST,-122.420666812024,37.8028627711287
12238,2015-03-16 22:25:00,RUNAWAY,INGLESIDE,100 Block of PERSIA AV,-122.43476428669202,37.7226161363136
12371,2015-03-16 17:07:00,DRUNKENNESS,SOUTHERN,600 Block of MINNA ST,-122.41108692372,37.7781634278768
12389,2015-03-16 16:47:00,DRUNKENNESS,TARAVAL,0 Block of WESTPORTAL AV,-122.466448582438,37.7403329886376
12549,2015-03-16 08:30:00,RUNAWAY,PARK,1200 Block of PAGE ST,-122.441393701114,37.77172731417711
12550,2015-03-16 08:30:00,RUNAWAY,PARK,1200 Block of PAGE ST,-122.441393701114,37.77172731417711
12584,2015-03-16 05:11:00,ARSON,BAYVIEW,1200 Block of PENNSYLVANIA AV,-122.392623643609,37.7517100089534
12621,2015-03-16 00:08:00,ARSON,MISSION,600 Block of VALENCIA ST,-122.421609674066,37.7627519883966
12660,2015-03-08 22:30:00,KIDNAPPING,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711
12698,2015-03-08 20:43:00,DRUNKENNESS,CENTRAL,400 Block of BROADWAY ST,-122.404282497745,37.7982249345487
12764,2015-03-08 17:38:00,DRUNKENNESS,TENDERLOIN,JONES ST / OFARRELL ST,-122.412970537591,37.78578837668879
12906,2015-03-08 11:20:00,DRUNKENNESS,CENTRAL,GEARY ST / STOCKTON ST,-122.406592269796,37.7875673013055
12933,2015-03-08 10:00:00,DRUNKENNESS,CENTRAL,400 Block of BROADWAY ST,-122.405065483077,37.7980134745487
12966,2015-03-08 07:40:00,DRUNKENNESS,NORTHERN,600 Block of LINDEN ST,-122.428666208752,37.7757342027431
12990,2015-03-08 03:10:00,KIDNAPPING,NORTHERN,1500 Block of LOMBARD ST,-122.427042151546,37.8011054678398
13002,2015-03-08 01:30:00,DRUNKENNESS,SOUTHERN,0 Block of 9TH ST,-122.414953043045,37.7765019124574
13031,2015-03-08 00:01:00,KIDNAPPING,MISSION,16TH ST / MISSION ST,-122.419671780296,37.7650501214668
13074,2015-03-07 22:30:00,DRUNKENNESS,MISSION,2300 Block of 16TH ST,-122.409529913278,37.7657184395282
13235,2015-03-07 16:00:00,KIDNAPPING,RICHMOND,800 Block of 26TH AV,-122.48525926398,37.7734393135661
13326,2015-03-07 12:20:00,DRUNKENNESS,MISSION,16TH ST / MISSION ST,-122.419671780296,37.7650501214668
13413,2015-03-07 04:38:00,ARSON,RICHMOND,1100 Block of 9TH AV,-122.466504397113,37.7662014296859
13433,2015-03-07 03:15:00,ARSON,BAYVIEW,CRISP RD / PALOU AV,-122.379995240287,37.7277878205458
13566,2015-03-06 21:31:00,KIDNAPPING,TENDERLOIN,0 Block of GOLDEN GATE AV,-122.411268613368,37.782250087316704
13901,2015-03-06 06:00:00,RUNAWAY,INGLESIDE,1500 Block of SUNNYDALE AV,-122.417144802399,37.7121502932531
13912,2015-03-06 04:30:00,ARSON,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711
13996,2015-03-05 22:23:00,ARSON,MISSION,300 Block of SANCARLOS ST,-122.419832741614,37.7577669901356
14425,2015-03-04 22:46:00,KIDNAPPING,INGLESIDE,1600 Block of DOLORES ST,-122.42449818088998,37.743411584037
14535,2015-03-04 18:55:00,DRUNKENNESS,PARK,1100 Block of DIVISADERO ST,-122.438957266063,37.7801176641601
14839,2015-03-04 01:30:00,ARSON,NORTHERN,1700 Block of SACRAMENTO ST,-122.421720672696,37.7914446364385
